time,"Trace Velocity, Target, Actual (kmph)(2)",EngSpd,MotSpd,GenSpd,EngTrq,MotTrq,GenTrq,Battery Current,Battery SOC,L/100km,TP HC Mass (g/km),TP CO Mass (g/km),TP NOx Mass (g/km),TP CO2 Mass (g/km),fuel(g/s),Battery power,BattPwrLoss
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000001,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
12,0.13096632272788164,0.19610625645438184,11.042606732108549,-2.964757793381407,0.0,2.666854607995778,-0.02519055909260756,0.022820525510514483,79.99998463958141,0.0,0.0,0.0,0.0,0,0.0,3.3554681823221464,1.6150340047774037e-05
13,1.198216239220363,1.5982053079420309,100.37924909620776,-27.35159291382162,0.0,20.68283669651351,-0.20447216360631354,1.6313886126557853,79.99869956346527,0.0,0.0,0.0,0.0,0,0.0,239.79294100088194,0.0825364502899572
14,4.340746064786361,4.712367002841422,360.5557507900898,-100.48218263650327,0.0,51.61813349930678,-0.5930086318244973,15.861373241091986,79.98225427675682,0.0,0.0,0.0,0.0,0,0.0,2324.3272938708214,7.802243138215805
15,8.959752583033119,7.2073247244823415,742.4982797833565,-212.34299193033797,0.0,64.77907506093351,-0.8991529941567378,40.75461805413375,79.9211762665655,0.0,0.0,0.0,0.0,0,0.0,5939.805165001073,51.51307493518322
16,12.968391746690555,6.980773496446804,1068.9642718285586,-313.0687991768994,0.0,47.58400248233929,-0.8987897860927165,42.40198789387228,79.83249320781121,0.0,0.0,0.0,0.0,0,0.0,6176.317481133136,55.766562190111834
17,16.685238956422282,7.634577432624062,1378.0153925491259,-406.53268218657354,0.0,52.51910797716778,-1.0697066630843493,59.926816261476304,79.72301368059375,0.0,0.0,0.0,0.0,0,0.0,8694.007690504366,111.40130600099245
18,21.243236001461337,9.41802837762934,1760.4844257474188,-520.0923678285824,0.0,65.97364443253666,-1.3619001291970694,95.62970251715389,79.5545590039832,0.0,0.0,0.0,0.0,0,0.0,13761.79676207246,283.72977824687354
19,25.876572931617698,9.890032636827351,2140.502711015957,-635.7444575167924,0.0,60.10659682897423,-1.4837665693488837,105.62409831680976,79.34001018616553,0.0,0.0,0.0,0.0,0,0.0,15158.810019310225,346.20736803674424
20,28.34224543239806,7.089670306459466,2322.8100712761184,-697.7868339219821,0.0,22.472416273909616,-1.2227980369976363,43.49281851345614,79.19571172300017,0.0,0.0,0.0,0.0,0,0.0,6323.42436040661,58.70925294041697
21,28.91672253532537,5.066412653811661,2363.457835992216,-714.6465057279552,0.0,8.672543520409619,-1.0973341886931796,17.581543060991304,79.13934533249842,0.0,0.0,0.0,0.0,0,0.0,2569.9606817964927,9.594212181586224
22,28.886629047651606,4.019873823172882,2359.0579327585897,-715.5622191822688,0.0,4.508556573878713,-1.0488674951385082,9.433732125199098,79.11402177597223,0.0,0.0,0.0,0.0,0,0.0,1381.2626582268952,2.7623147061261366
23,29.017939379415175,3.950371677516818,2372.774655524762,-719.9232252845593,0.0,9.85628784230806,-1.099016767047,19.98079316759453,79.08105862590078,0.0,0.0,0.0,0.0,0,0.0,2918.753548995759,12.39211671779936
24,29.263672086761687,3.6408751859760002,2391.9792893999065,-726.4910163457391,0.0,8.652807489312194,-1.0994259394688535,17.78582854220063,79.04135584197954,0.0,0.0,0.0,0.0,0,0.0,2599.0650621775817,9.819402835858384
25,30.41832388664445,4.931387109015382,2497.22197400671,-756.0040077342032,0.0,27.19713684799588,-1.3105435357643094,56.248606741674045,78.95384219004544,0.0,0.0,0.0,0.0,0,0.0,8150.716188214998,98.21945114023654
26,31.826628655635037,4.771808823205834,2608.3048210368206,-790.4574448568991,0.0,20.935872758654117,-1.3130243300764248,45.91961474109721,78.84618937388535,0.0,0.0,0.0,0.0,0,0.0,6666.856045371843,65.46603757158734
27,33.66810620930801,5.76087288205957,2768.080751919454,-837.3657871769375,0.0,34.02126214846441,-1.4985030522782887,77.41420432463973,78.70930387169095,0.0,0.0,0.0,0.0,0,0.0,11159.809595847837,186.0882252539837
28,36.15640569011014,6.559948645262656,2975.587835845423,-899.3440566908073,0.0,38.80813395249872,-1.638868484953591,95.11919303313707,78.52199874084849,0.0,0.0,0.0,0.0,0,0.0,13653.162825990888,280.99154491483847
29,38.766354027347404,6.894115147436578,3190.3425650587433,-964.5538839414278,0.0,38.981273055312,-1.737339218524999,102.19633831192829,78.31085184712306,0.0,0.0,0.0,0.0,0,0.0,14638.476323460342,324.42704005693724
30,41.17348392845458,6.7692689155319705,3385.156735935927,-1024.6364673050207,0.0,35.12278771687997,-1.787620784808407,97.60941701553045,78.09874570219259,0.0,0.0,0.0,0.0,0,0.0,13987.620201955488,296.01903258214304
31,42.813035794317436,5.700980177828569,3509.2878860953288,-1065.0630059364535,0.0,22.3304994367479,-1.7238501039133223,65.45840422835423,77.9302341866318,0.0,0.0,0.0,0.0,0,0.0,9441.57441915233,133.1491423223111
32,43.68299137411094,4.782788454337472,3575.6178110218075,-1087.4155299014305,0.0,15.762441676907041,-1.6883608065272444,47.50612531113303,77.81386493847783,0.0,0.0,0.0,0.0,0,0.0,6876.635613117483,70.13842841032792
33,44.206882839601164,4.194747698616643,3616.536744273591,-1101.2517705277996,0.0,13.145037725923952,-1.6793586750285152,40.19998708418518,77.7224998194324,0.0,0.0,0.0,0.0,0,0.0,5826.822528661173,50.22816506106743
34,44.60565641900418,3.814663888597961,3648.5615873720126,-1111.9072259126274,0.0,12.348507260269873,-1.684722614683417,38.12736518609049,77.63988036193076,0.0,0.0,0.0,0.0,0,0.0,5527.693198680563,45.18601520497202
35,44.77352061670131,3.1776030219628497,3658.571085606252,-1116.3613924492747,0.0,7.973943732947097,-1.6490071398536519,25.197238948293553,77.57443414397082,0.0,0.0,0.0,0.0,0,0.0,3662.5990119594294,19.736223929996967
36,44.540090495119784,2.361338707323869,3635.306148686395,-1110.9873303071759,0.0,2.750150393302734,-1.590224200960015,9.67223867397129,77.54020446715538,0.0,0.0,0.0,0.0,0,0.0,1410.4740243151896,2.908215944508657
37,43.283165705602606,0.6362740034331058,3523.3290271687847,-1080.3452764325345,0.0,-8.88301334347562,-1.417562074647856,-18.495064228365933,77.56688603293307,0.0,0.0,0.0,0.0,0,0.0,-2713.4604342542148,10.63342169764126
38,40.893923946828814,-1.3573984162304895,3319.8735416336826,-1022.200847266773,0.0,-20.248894355973746,-1.1998826527598612,-41.413488999044795,77.6470796920575,0.0,0.0,0.0,0.0,0,0.0,-6106.612225462588,53.31029056014185
39,38.2059055036365,-2.393714532005876,3100.4640907903286,-957.0835620769177,0.0,-21.953772293549164,-1.0806853533569911,-42.22690426091901,77.73781901330229,0.0,0.0,0.0,0.0,0,0.0,-6229.035865500688,55.420123394931395
40,35.79412717248479,-2.6782425859293295,2907.303813746472,-898.3962307643036,0.0,-18.346684181356764,-1.0342536692104631,-32.84058143671749,77.81268034511787,0.0,0.0,0.0,0.0,0,0.0,-4835.75439083934,33.518068729928906
41,33.49936043435518,-3.0999021057908718,2721.35293625858,-842.2196019398739,0.0,-17.738502149490763,-0.9604878821758506,-29.50823765830767,77.87830484032558,0.0,0.0,0.0,0.0,0,0.0,-4342.727827648461,27.05926998728691
42,30.520438157203237,-4.548370667697784,2474.249510269612,-769.493116597651,0.0,-26.42657223766774,-0.7571830737216368,-40.70290690577193,77.96300060510077,0.0,0.0,0.0,0.0,0,0.0,-6005.679556181571,51.4807098454044
43,26.94845783120915,-5.892395041278179,2181.7123254163293,-682.5911872195519,0.0,-32.197520292857696,-0.5618445665396157,-44.22011051096936,78.05929646974944,0.0,0.0,0.0,0.0,0,0.0,-6531.045402756425,60.75647215098413
44,23.924960019914604,-5.734356305134507,1940.5513816445691,-608.2077689599732,0.0,-24.54303905018712,-0.5362905308353589,-29.841169720570235,78.13092700420631,0.0,0.0,0.0,0.0,0,0.0,-4394.818332890472,27.6665021712247
45,22.136141044320222,-4.527172773719036,1801.3334253406933,-562.8494394605026,0.0,-11.089363483093074,-0.625400745724207,-12.23662543034776,78.16531274613072,0.0,0.0,0.0,0.0,0,0.0,-1795.5948288504408,4.651910403806488
46,21.187554581493668,-3.589064952534231,1727.2941658640989,-538.085441227106,0.0,-3.5655390829941207,-0.6816365444565798,-3.521275535501483,78.17725469428436,0.0,0.0,0.0,0.0,0,0.0,-515.7718605839939,0.3852148056962252
47,20.168709622898483,-3.6931164583574967,1643.2152538422063,-512.4974489846323,0.0,-6.027568533951927,-0.6211084889021744,-5.870556346804528,78.18948480407101,0.0,0.0,0.0,0.0,0,0.0,-860.3330191243978,1.070671628572596
48,19.019952307933277,-3.843678070892886,1549.1247325162817,-483.9363533479252,0.0,-7.3255438960278845,-0.5646685446394993,-6.7561546715561684,78.20401356941088,0.0,0.0,0.0,0.0,0,0.0,-990.3400442205876,1.418047528314108
49,18.221206039051765,-3.368066353985861,1485.6639757142032,-463.42219580080933,0.0,-2.9593690506625983,-0.5843195690453207,-2.4549853233117287,78.2113278422879,0.0,0.0,0.0,0.0,0,0.0,-359.5386651530067,0.18723469300717208
50,17.93141255851103,-2.592203557774364,1464.3891049367887,-455.2087415828222,0.0,3.589393090914239,-0.6409857048344326,4.671256722667609,78.20671677103488,0.0,0.0,0.0,0.0,0,0.0,683.075244401598,0.6778880017526226
51,17.579846226886577,-2.6399108006697363,1434.165709850535,-446.0338187709635,0.0,-0.5703446322105381,-0.593996595388857,-0.2629078756131632,78.20347091582882,0.0,0.0,0.0,0.0,0,0.0,-38.48483690181787,0.002147331237529046
52,16.212538111095196,-3.839016832681068,1319.1463074389683,-413.31919750616754,0.0,-11.339407741528145,-0.4216702326030147,-8.99895606486846,78.2193758605019,0.0,0.0,0.0,0.0,0,0.0,-1319.7754951353195,2.5157609836001305
53,14.029776293624847,-4.990630351935567,1140.3511697129375,-360.91917336326094,0.0,-15.261925932504559,-0.2527041639417691,-10.541600453983477,78.24436651151781,0.0,0.0,0.0,0.0,0,0.0,-1546.6216990523665,3.452133913599455
54,12.764488338699234,-3.9776097786642852,1040.1759516020898,-327.9699592185597,0.0,-4.484401948645752,-0.33937960194765693,-2.727488327509422,78.25407833096956,0.0,0.0,0.0,0.0,0,0.0,-399.5136643797487,0.23109801726751836
55,12.307909664136112,-2.9605437258149494,1004.6319905772262,-314.8534471708269,0.0,0.9423471527516034,-0.41225084547741736,0.9264250371416469,78.2545786394327,0.0,0.0,0.0,0.0,0,0.0,135.59476957236961,0.026661880242702475
56,12.124483554402149,-2.4565252684357026,990.1775370743834,-309.3238022055836,0.0,3.486182331487604,-0.43218484622331127,3.058466455124425,78.24994379628734,0.0,0.0,0.0,0.0,0,0.0,447.4398788734251,0.29058929560416297
57,12.058459222929638,-2.1361176259858414,984.8625555492822,-306.9981590698975,0.0,4.232266972257186,-0.4382764271930286,3.667043652187192,78.24263723848831,0.0,0.0,0.0,0.0,0,0.0,536.3926683095256,0.41774130873552784
58,12.233524721904114,-1.5784987975234182,1000.1643429092819,-310.4875134253107,0.0,8.38357683865859,-0.48203642998079604,7.261426741877333,78.23021372411263,0.0,0.0,0.0,0.0,0,0.0,1061.3130060301144,1.6380397830683595
59,12.552868146316891,-1.220459290249179,1026.222641885564,-317.71269512373357,0.0,8.790875805861331,-0.49967828930166724,7.802049429932103,78.21393395684483,0.0,0.0,0.0,0.0,0,0.0,1140.1508362837078,1.891057846908801
60,14.100998362854739,0.9609597814996412,1159.5059216440436,-353.90362688568104,0.0,31.941329195846848,-0.7631320397881324,31.182439387495695,78.1684354060286,0.0,0.0,0.0,0.0,0,0.0,4533.674714915007,30.208339978875255
61,15.395087966779561,0.5043023405247529,1259.3855857047786,-385.5635706523892,0.0,14.09102173931284,-0.6640577981896524,15.166351437199653,78.1214136778839,0.0,0.0,0.0,0.0,0,0.0,2212.3393673135456,7.146424817264158
62,15.999178800373464,0.2519435143774723,1308.7851261725425,-401.2742334020988,0.0,11.834497764849788,-0.6561991976869719,13.260462143470555,78.09208277412613,0.0,0.0,0.0,0.0,0,0.0,1934.9677871933002,5.463316221419311
63,16.351303285442246,0.0369476290347785,1336.4099942457003,-410.22162292421723,0.0,8.052115651994459,-0.6327592135799737,9.278640464063752,78.06906784590383,0.0,0.0,0.0,0.0,0,0.0,1355.0085610140927,2.6749610159778543
64,16.996477587906472,0.7023471731325869,1391.8914688064285,-425.81227178751493,0.0,15.877626970050319,-0.7234857016372529,18.82427132323066,78.03733167584484,0.0,0.0,0.0,0.0,0,0.0,2743.205392295528,11.010284711182095
65,17.787329340706535,0.9014820389868818,1455.722112049739,-444.9793268177318,0.0,14.06982137981187,-0.740246250084295,17.464112316223282,77.99876092032062,0.0,0.0,0.0,0.0,0,0.0,2545.479857086628,9.477014917741277
66,18.225417447899503,0.5787164196150485,1489.6792229604957,-456.1044100638844,0.0,8.57953922041456,-0.7061917085700435,10.99763081018006,77.96993359907034,0.0,0.0,0.0,0.0,0,0.0,1605.05032051729,3.7582789429390524
67,18.479014528163134,0.49853056170112275,1510.4789588306433,-462.6633017520032,0.0,8.283910335306338,-0.7093169518568525,10.769619095878943,77.94701677294198,0.0,0.0,0.0,0.0,0,0.0,1571.7586964364266,3.6041356402974167
68,19.827919635091202,2.302055202607327,1629.0449875609183,-495.15497076426743,0.0,29.438982994296346,-0.9480465849937085,40.0386446502953,77.88702643670374,0.0,0.0,0.0,0.0,0,0.0,5806.097844899777,49.81780333913168
69,22.57179567679257,4.333902424216696,1860.3807080875602,-561.778073241473,0.0,44.04126094409203,-1.192969345008237,67.74711058681676,77.7671617243294,0.0,0.0,0.0,0.0,0,0.0,9762.817277552447,142.64551953672617
70,25.99956513969006,5.702777961145921,2145.260588485254,-646.276487451008,0.0,49.38907949372991,-1.3761581103333458,87.24697179564028,77.59893311726293,0.0,0.0,0.0,0.0,0,0.0,12514.53086169019,236.6183986641809
71,29.509581750923186,6.3600078848280965,2433.7189264510166,-733.4156239743935,0.0,48.104975037052746,-1.4950226173339982,96.02081624271584,77.40167865067046,0.0,0.0,0.0,0.0,0,0.0,13739.76325122381,286.65666912491565
72,32.53491430432991,6.224321400740525,2678.5943770966055,-808.8902421679068,0.0,40.77233059455844,-1.5358437542386894,89.6853969647311,77.20694195612984,0.0,0.0,0.0,0.0,0,0.0,12844.371282312051,250.1250153775667
