time,"Trace Velocity, Target, Actual (mph)(1)",EngSpd,EngTrq,BSFC,FuelEconomy,FuelVolFlw,TP HC Mass (g/km),TP CO Mass (g/km),TP NOx Mass (g/km),TP CO2 Mass (g/km)
0,0.0,0.0,0.0,2900.0,0.0,1.7315436241610742e-09,0.0,0.0,0.0,0
1,0.0,-7.61846774767523e-14,0.0,2900.0,0.25973154362416123,2.597315436241611e-07,3.200000000000005e-05,0.0001640000000000003,0.0,0
2,0.0,-7.64473767175028e-14,0.0,2900.0,0.5194630872483211,2.597315436241611e-07,6.400000000000001e-05,0.00032800000000000055,0.0,0
3,0.0,-7.672186117997448e-14,0.0,2900.0,0.7791946308724834,2.597315436241611e-07,9.600000000000031e-05,0.0004919999999999999,0.0,0
4,0.0,-7.699706420094734e-14,0.0,2900.0,1.038926174496644,2.597315436241611e-07,0.00012800000000000054,0.000656,0.0,0
5,0.0,-7.727148161096468e-14,0.0,2900.0,1.2986577181207897,2.597315436241611e-07,0.0001600000000000002,0.0008199999999999992,0.0,0
6,0.0,-7.754529971751484e-14,0.0,2900.0,1.5583892617449293,2.597315436241611e-07,0.00019200000000000006,0.000983999999999998,0.0,0
7,0.0,-7.78178965026556e-14,0.0,2900.0,1.8181208053690703,2.597315436241611e-07,0.00022399999999999997,0.001148,0.0,0
8,0.0,-7.808927531173275e-14,0.0,2900.0,2.0778523489932117,2.597315436241611e-07,0.0002560000000000017,0.0013120000000000002,0.0,0
9,0.0,-7.835949563174789e-14,0.0,2900.0,2.3375838926173547,2.597315436241611e-07,0.00028800000000000624,0.0014760000000000007,0.0,0
10,0.0,-7.862841663921751e-14,0.0,2900.0,2.5973154362414976,2.597315436241611e-07,0.00032000000000001076,0.0016400000000000013,0.0,0
11,0.0,-7.889605798996284e-14,0.0,2900.0,2.8570469798656406,2.597315436241611e-07,0.0003520000000000153,0.0018040000000000018,0.0,0
12,0.1242742384474668,341.3647137204163,15.98131507533241,1024.4213823769683,3.2383388319425146,4.4542322454167357e-07,0.0003985384503397422,0.0020443268639682324,2.544228800983315e-05,0
13,1.0563310268034676,775.0574203578062,25.256435336178633,448.9885815629334,3.716694949904547,6.188395486169208e-07,0.0004574220738344223,0.0023455143770458,9.27260010430206e-05,0
14,3.355404438081603,813.7838424964563,43.10056552182998,381.52531685692,4.260519786778975,6.904888474825112e-07,0.0005245927740341959,0.002687841399544939,0.00020127083599830113,0
15,6.151574803149606,1060.1044631674292,58.26934779083756,308.23487260811396,4.899497942012177,7.701463642568885e-07,0.0006035509934377777,0.0030899613216533463,0.00037279043910069576,0
16,8.139962618309074,1543.5497145339489,33.738806884068026,384.7499664220894,5.629022299010016,7.306508521649279e-07,0.0006937523657041757,0.003549455436799424,0.0006110256830457292,0
17,10.501173148810942,1994.417145361325,51.39153220125447,312.3310809053964,6.648392141325362,1.2266090508554044e-06,0.000819662396464356,0.004191263408566658,0.001060163566293919,0
18,13.483754871550145,2576.9132837153593,60.52296498164638,294.8732239707968,8.159085352336406,1.8096493588031282e-06,0.0010061929093721795,0.005142240087621687,0.0018670962718978007,0
19,16.15565099817068,2441.012088983953,29.750266154507223,339.75058559274026,9.49549432446711,1.3186419499435782e-06,0.00117145539220605,0.00598361327580196,0.0025570939272400576,0
20,17.087707786526682,2708.6986933558696,25.722323867063395,499.5389159906791,10.809806815260043,1.0259683423881301e-06,0.0013339379075646683,0.006811132528863329,0.003221109950293832,0
21,17.460530501869084,2772.741654450138,11.821574406551951,1279.0138903757604,11.587811063939522,7.932354831315156e-07,0.0014303538336034565,0.007300821763479053,0.0035295287682987203,0
