time,Trace Velocity,EngSpd,MotSpd,GenSpd,EngTrq,MotTrq,GenTrq,Battery Current,Battery SOC,L/100km,TP HC Mass (g/km),TP CO Mass (g/km),TP NOx Mass (g/km),TP CO2 Mass (g/km),fuel(g/s),Battery power,BattPwrLoss
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
12,0.2,0.19610625645438184,11.042606732108549,-2.964757793381407,0.0,2.666854607995778,-0.02519055909260756,0.022820525809651382,79.99997941387163,0.0,0.0,0.0,0.0,0,0.0,3.3554681823221464,1.61503405536196e-05
13,1.7,1.5982053079420309,100.37924909620776,-27.35159291382162,0.0,20.68283669651351,-0.20447216360631354,1.6313904254814287,79.99825714594418,0.0,0.0,0.0,0.0,0,0.0,239.79294100088194,0.08253666939087438
14,5.4,4.712367002841422,360.5557507900898,-100.48218263650327,0.0,51.61813349930678,-0.5930086318244973,15.86161569607676,79.97621689059375,0.0,0.0,0.0,0.0,0,0.0,2324.3272938708214,7.802527682070499
15,9.9,7.2073247244823415,742.4982797833565,-212.34299193033797,0.0,64.77907506093351,-0.8991529941567378,40.757423577135995,79.89435632653627,0.0,0.0,0.0,0.0,0,0.0,5939.805165001074,51.5215170687371
16,13.1,6.980773496446804,1068.9642718285586,-313.0687991768994,0.0,47.58400248233929,-0.8987897860927165,42.408202520369976,79.77548994486257,0.0,0.0,0.0,0.0,0,0.0,6176.317481133136,55.7860157721428
17,16.9,7.634577432624062,1378.0153925491259,-406.53268218657354,0.0,52.51910797716778,-1.0697066630843493,59.94148056950958,79.62873611422886,0.0,0.0,0.0,0.0,0,0.0,8694.007690504366,111.46609469492147
18,21.7,9.41802837762934,1760.4844257474188,-520.0923678285824,0.0,65.97364443253666,-1.3619001291970694,95.66807229136198,79.4028992183531,0.0,0.0,0.0,0.0,0,0.0,13761.79676207246,283.9995556390549
19,26.0,9.890032636827351,2140.502711015957,-635.7444575167924,0.0,60.10659682897423,-1.4837665693488837,105.68730094758408,79.11521592692995,0.0,0.0,0.0,0.0,0,0.0,15158.810019310225,346.697877700841
20,27.5,7.089670306459466,2322.8100712761184,-697.7868339219821,0.0,22.472416273909616,-1.2227980369976363,43.523558991532504,78.92169998276009,0.0,0.0,0.0,0.0,0,0.0,6323.42436040661,58.807996973458664
21,28.1,5.066412653811661,2363.457835992216,-714.6465057279552,0.0,8.672543520409619,-1.0973341886931796,17.594670280809478,78.84610253768516,0.0,0.0,0.0,0.0,0,0.0,2569.9606817964923,9.611294531423914
22,28.3,4.019873823172882,2359.0579327585897,-715.5622191822688,0.0,4.508556573878713,-1.0488674951385082,9.440954168530098,78.81213810282168,0.0,0.0,0.0,0.0,0,0.0,1381.2626582268952,2.76736084303827
23,28.8,3.950371677516818,2372.774655524762,-719.9232252845593,0.0,9.85628784230806,-1.099016767047,19.996746202213945,78.76792611450935,0.0,0.0,0.0,0.0,0,0.0,2918.753548995759,12.415705879028433
24,29.1,3.6408751859760002,2391.9792893999065,-726.4910163457391,0.0,8.652807489312194,-1.0994259394688535,17.800629198890004,78.71467282212848,0.0,0.0,0.0,0.0,0,0.0,2599.0650621775817,9.83888801625253
25,30.8,4.931387109015382,2497.22197400671,-756.0040077342032,0.0,27.19713684799588,-1.3105435357643094,56.30072362448604,78.59728298515677,0.0,0.0,0.0,0.0,0,0.0,8150.716188214998,98.43578264257606
26,31.9,4.771808823205834,2608.3048210368206,-790.4574448568991,0.0,20.935872758654117,-1.3130243300764248,45.966318625439534,78.45286582736202,0.0,0.0,0.0,0.0,0,0.0,6666.856045371843,65.62444881946969
27,34.1,5.76087288205957,2768.080751919454,-837.3657871769375,0.0,34.02126214846441,-1.4985030522782887,77.50378875285472,78.26921125121984,0.0,0.0,0.0,0.0,0,0.0,11159.809595847837,186.59924231708314
28,36.6,6.559948645262656,2975.587835845423,-899.3440566908073,0.0,38.80813395249872,-1.638868484953591,95.24653797664084,78.01787026982309,0.0,0.0,0.0,0.0,0,0.0,13653.162825990887,281.8829705358519
29,39.1,6.894115147436578,3190.3425650587433,-964.5538839414278,0.0,38.981273055312,-1.737339218524999,102.35346809869462,77.7344829292048,0.0,0.0,0.0,0.0,0,0.0,14638.476323460342,325.608353899341
30,41.3,6.7692689155319705,3385.156735935927,-1024.6364673050207,0.0,35.12278771687997,-1.787620784808407,97.77813093966446,77.44975289576752,0.0,0.0,0.0,0.0,0,0.0,13987.620201955488,297.231191689843
31,42.5,5.700980177828569,3509.2878860953288,-1065.0630059364535,0.0,22.3304994367479,-1.7238501039133223,65.57963685091111,77.22350860862736,0.0,0.0,0.0,0.0,0,0.0,9441.57441915233,133.7348714971333
32,43.3,4.782788454337472,3575.6178110218075,-1087.4155299014305,0.0,15.762441676907041,-1.6883608065272444,47.598253140044314,77.06725437710288,0.0,0.0,0.0,0.0,0,0.0,6876.635613117483,70.46197006008444
33,43.9,4.194747698616643,3616.536744273591,-1101.2517705277996,0.0,13.145037725923952,-1.6793586750285152,40.28036268359637,76.94456477318539,0.0,0.0,0.0,0.0,0,0.0,5826.822528661173,50.46745376241616
34,44.4,3.814663888597961,3648.5615873720126,-1111.9072259126274,0.0,12.348507260269873,-1.684722614683417,38.205238254462444,76.83361395006789,0.0,0.0,0.0,0.0,0,0.0,5527.693198680563,45.40643439928379
35,44.5,3.1776030219628497,3658.571085606252,-1116.3613924492747,0.0,7.973943732947097,-1.6490071398536519,25.24925699993451,76.74572245407387,0.0,0.0,0.0,0.0,0,0.0,3662.5990119594294,19.833800931879683
36,44.2,2.361338707323869,3635.306148686395,-1110.9873303071759,0.0,2.750150393302734,-1.590224200960015,9.69222600626913,76.69975287264127,0.0,0.0,0.0,0.0,0,0.0,1410.4740243151896,2.9226394949884016
37,42.7,0.6336676419725555,3523.0981978984764,-1080.2800546694766,0.0,-9.108062644003954,-1.4172945443335987,-19.033104858183275,76.73680277336315,0.0,0.0,0.0,0.0,0,0.0,-2787.0649075381116,11.270204508093773
38,39.9,-1.3624222694894579,3319.284159173214,-1022.0307809388589,0.0,-20.74257544621103,-1.1993253781777204,-42.55830875854601,76.84746042541626,0.0,0.0,0.0,0.0,0,0.0,-6264.628265673621,56.342283044932906
39,37.0,-2.397560659683508,3099.713669840828,-956.861499114213,0.0,-22.45976924620223,-1.0801592831659919,-43.307074214958035,76.97231105983386,0.0,0.0,0.0,0.0,0,0.0,-6377.650824174276,58.33518799380922
40,34.6,-2.6803271479544364,2906.5535343393863,-898.1703938946974,0.0,-18.74738648963474,-1.033865677958385,-33.62320540017753,77.07506401182911,0.0,0.0,0.0,0.0,0,0.0,-4942.66170753765,35.15990366875166
41,32.3,-3.1015161146774313,2720.5961915687762,-841.9907608270073,0.0,-18.110633623351717,-0.9601298888426869,-30.18290634950601,77.1650623315966,0.0,0.0,0.0,0.0,0,0.0,-4434.7058887075045,28.330451051647803
42,29.0,-4.551346868593001,2473.3249175271803,-769.2156940554642,0.0,-26.96717174379403,-0.7566618623175637,-41.63980359101853,77.28129837380008,0.0,0.0,0.0,0.0,0,0.0,-6134.662801079937,53.913750466181504
43,25.1,-5.895709818451022,2180.649713362915,-682.2721211068872,0.0,-32.82428624441431,-0.561253162768262,-45.14541747070696,77.41322161388335,0.0,0.0,0.0,0.0,0,0.0,-6658.253290271151,63.36562540553659
44,22.2,-5.735214457857407,1939.5743087180363,-607.9096434221108,0.0,-24.991553016604314,-0.5359055691359086,-30.417794052824075,77.5111040216823,0.0,0.0,0.0,0.0,0,0.0,-4473.326180271249,28.76341103045227
45,20.9,-4.526210321120665,1800.5967977714479,-562.6211905828178,0.0,-11.27222896501725,-0.6252576553431766,-12.456552320627084,77.55797332543214,0.0,0.0,0.0,0.0,0,0.0,-1825.1555199107906,4.823483916166556
46,20.4,-3.586277290787126,1726.7834062750514,-537.9225833022604,0.0,-3.609333103914744,-0.681657357816215,-3.5728863065082375,77.5742041783129,0.0,0.0,0.0,0.0,0,0.0,-522.540193780211,0.3968228261334167
47,19.5,-3.69162095754477,1642.7886019810649,-512.3632165404615,0.0,-6.124659686665467,-0.6210427513281737,-5.977001001673218,77.59089465229098,0.0,0.0,0.0,0.0,0,0.0,-874.6291755264427,1.1104981665111149
48,18.4,-3.842547131637378,1548.7459369629044,-483.81760514700926,0.0,-7.449111452401378,-0.5645665656510177,-6.882542309945163,77.61073360054853,0.0,0.0,0.0,0.0,0,0.0,-1007.3834279538488,1.4724500523612076
49,17.8,-3.3660502637039666,1485.3903494191704,-463.33381762433226,0.0,-3.003119250264356,-0.5843121254473502,-2.498208776528793,77.62069628206308,0.0,0.0,0.0,0.0,0,0.0,-365.32637182786414,0.1939974560702407
50,17.8,-2.5895972110417813,1464.2238087296334,-455.1523498558118,0.0,3.606219247326509,-0.6410756778489355,4.697988620633406,77.61446695361587,0.0,0.0,0.0,0.0,0,0.0,685.9504911980158,0.6860647928506846
51,17.4,-2.637992760318312,1434.0782972811012,-446.00282778999355,0.0,-0.5770213867856373,-0.5940269173423116,-0.2691680070016085,77.61007611102072,0.0,0.0,0.0,0.0,0,0.0,-39.34216021199176,0.0022521118104636972
52,15.7,-3.8396978043233574,1318.9217393528945,-413.2517283537905,0.0,-11.546339869231971,-0.4214515465221005,-9.177603371287955,77.63185701490828,0.0,0.0,0.0,0.0,0,0.0,-1344.0330547475905,2.618137320510913
53,13.1,-4.9916774967485456,1140.001461607072,-360.8140401813094,0.0,-15.537061531435352,-0.2523996194882604,-10.745109013616544,77.66601841683722,0.0,0.0,0.0,0.0,0,0.0,-1574.2502873482215,3.5887321440247875
54,12.1,-3.976267918011486,1039.9108420652667,-327.88565320382924,0.0,-4.562644779433558,-0.33933632820918297,-2.7800991503548413,77.67926748526332,0.0,0.0,0.0,0.0,0,0.0,-406.63333348138536,0.24023393493552353
55,12.0,-2.958845599616555,1004.4634025640622,-314.79800896553036,0.0,0.956260759662565,-0.4122996746612999,0.9391421065507747,77.67994433109581,0.0,0.0,0.0,0.0,0,0.0,137.25602603296127,0.027414234517300972
56,12.0,-2.45482833276674,990.0857404543099,-309.29194454967757,0.0,3.4954577251189045,-0.43223405587387276,3.070170923487075,77.6736972755476,0.0,0.0,0.0,0.0,0,0.0,448.4963256548986,0.29298221040802397
57,12.0,-2.1347526256501808,984.8154173498069,-306.98073070100605,0.0,4.2372476937459025,-0.4383054646849002,3.67632608086589,77.66387505912896,0.0,0.0,0.0,0.0,0,0.0,536.961899189229,0.420095810491275
58,12.3,-1.5774103752259587,1000.1405498778258,-310.47785100204186,0.0,8.386131140150885,-0.4820517289347343,7.273870420474809,77.6471950715258,0.0,0.0,0.0,0.0,0,0.0,1061.558938568108,1.6445931615893328
59,12.6,-1.2195602897671112,1026.210699576365,-317.70708116754315,0.0,8.792160941194258,-0.49968589934910823,7.814759425668928,77.62534042047005,0.0,0.0,0.0,0.0,0,0.0,1140.3021550205979,1.8983130608671845
60,14.7,0.9623277497775021,1159.4863178148732,-353.8946457658221,0.0,31.949878655361918,-0.7632993065122065,31.23709025807474,77.56427857959262,0.0,0.0,0.0,0.0,0,0.0,4534.567767602206,30.332178154633798
61,15.3,0.5052070571086014,1259.3826775101254,-385.56072063820733,0.0,14.094012372350743,-0.6641199224715967,15.195012827038529,77.50114986031534,0.0,0.0,0.0,0.0,0,0.0,2213.0149381582864,7.177799316703357
62,15.900000000000002,0.25252643185383433,1308.7879351928598,-401.2738331522459,0.0,11.834540088207522,-0.6562029555785555,13.281907158262321,77.46177308440454,0.0,0.0,0.0,0.0,0,0.0,1934.9873315480872,5.4843695854284125
63,16.2,0.037400744463125905,1336.4118193886638,-410.2212015322611,0.0,8.05196442859723,-0.6327587785502837,9.293754711741816,77.43087633985677,0.0,0.0,0.0,0.0,0,0.0,1355.0151975646559,2.685352608195582
64,17.1,0.7027565695442363,1391.8927326371613,-425.8117727399152,0.0,15.877510092153614,-0.7234849002036979,18.854758458679665,77.38827864966947,0.0,0.0,0.0,0.0,0,0.0,2743.0956288077796,11.052967165112419
65,17.8,0.9018447365040286,1455.7227064736371,-444.97872343948865,0.0,14.069754592470161,-0.7402455482434886,17.493624604604047,77.33649905633932,0.0,0.0,0.0,0.0,0,0.0,2545.472714016,9.515211562093228
66,18.1,0.5790425671002717,1489.679331886354,-456.10373682319,0.0,8.579534337753184,-0.7061910570375101,11.016517103406066,77.29779723299302,0.0,0.0,0.0,0.0,0,0.0,1605.0580476654534,3.7736693531495984
67,18.4,0.4988304145453009,1510.479016916557,-462.66266990699626,0.0,8.283910435051899,-0.709316774976037,10.788270901307737,77.26703096240024,0.0,0.0,0.0,0.0,0,0.0,1571.75792576934,3.61902783014874
68,20.3,2.3022894536563503,1629.0414415974492,-495.15337608210297,0.0,29.441129316863073,-0.9479684321352058,40.1137138987096,77.18649344560119,0.0,0.0,0.0,0.0,0,0.0,5806.4596565021175,50.03893470878494
69,23.2,4.334426910860098,1860.3798625380768,-561.7766792772486,0.0,44.042908196432805,-1.1930009420781977,67.88137675991638,77.0255475257132,0.0,0.0,0.0,0.0,0,0.0,9763.154450671547,143.31501026822409
70,26.5,5.70305154737771,2145.2628317273325,-646.2765835629497,0.0,49.38894990425265,-1.376160286203594,87.42723915475781,76.79963224197567,0.0,0.0,0.0,0.0,0,0.0,12514.506794515544,237.78227312459103
71,29.800000000000004,6.3602021258263255,2433.720237086301,-733.4156053153748,0.0,48.10475012165704,-1.4950210201893115,96.23074680597134,76.53470803375019,0.0,0.0,0.0,0.0,0,0.0,13739.719975313192,288.15468290229774
72,32.6,6.224485636674603,2678.5944420139326,-808.8899061895971,0.0,40.772413837638766,-1.5358426410159494,89.89123447484347,76.27313473303407,0.0,0.0,0.0,0.0,0,0.0,12844.40680607741,251.5030387459273
73,34.4,5.326482834344783,2845.2924935524657,-862.0155416678452,0.0,27.87194414084441,-1.4886265736044342,66.01556545541987,76.05810947038762,0.0,0.0,0.0,0.0,0,0.0,9477.135392922535,135.67259185033456
74,35.5,4.362606000851193,2940.5481160380605,-893.3485525196223,0.0,18.379615763255753,-1.4383388966346935,45.502212058545716,75.90559398946246,0.0,0.0,0.0,0.0,0,0.0,6558.994028707602,64.46572852162143
75,36.4,3.8646816832658004,3004.4194708193836,-914.0360178810208,0.0,15.772502753759625,-1.4376207062239843,39.94410946481014,75.78649359912582,0.0,0.0,0.0,0.0,0,0.0,5763.140871085928,49.68435801714113
