time,Trace Velocity,EngSpd,MotSpd,GenSpd,EngTrq,MotTrq,GenTrq,Battery Current,Battery SOC,Battery power,<BattPwrLoss>
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000001,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0
12,0.2,0.1961062564543818,11.042606732108547,-2.964757793381407,0.0,2.666854607995778,-0.0251905590926075,0.0228205263897956,79.99996927916197,3.3554681823221464,1.6150341534653453e-05
13,1.7,1.5982053079420309,100.37924909620776,-27.35159291382162,0.0,20.68283669651351,-0.2044721636063135,1.6313939412817031,79.99739912268531,239.79294100088197,0.0825370943167523
14,5.4,4.712367002841422,360.5557507900898,-100.48218263650328,0.0,51.61813349930678,-0.5930086318244973,15.862085943551142,79.96450775801028,2324.327293870821,7.803079576344089
15,9.9,7.207324724482341,742.4982797833565,-212.342991930338,0.0,64.77907506093351,-0.8991529941567378,40.76286625334016,79.842336659207,5939.805165001073,51.5378966083094
16,13.1,6.980773496446804,1068.9642718285586,-313.0687991768994,0.0,47.58400248233929,-0.8987897860927165,42.4202629810713,79.66491438602029,6176.317481133136,55.82377791106338
17,16.9,7.634577432624062,1378.015392549126,-406.5326821865736,0.0,52.51910797716778,-1.0697066630843493,59.969951446484046,79.44582940501365,8694.007690504366,111.5919346675286
18,21.7,9.41802837762934,1760.4844257474188,-520.0923678285824,0.0,65.97364443253666,-1.3619001291970694,95.7426201356428,79.10859998321385,13761.79676207246,284.52405541408086
19,26.0,9.890032636827351,2140.502711015957,-635.7444575167924,0.0,60.10659682897423,-1.4837665693488835,105.81020561851972,78.67887133480053,15158.810019310224,347.6526912667093
20,27.5,7.089670306459466,2322.8100712761184,-697.7868339219821,0.0,22.472416273909616,-1.2227980369976363,43.583365985228205,78.38971953555327,6323.42436040661,59.000338863166064
21,28.1,5.066412653811661,2363.457835992216,-714.6465057279552,0.0,8.672543520409619,-1.0973341886931796,17.62021429586677,78.27674559570443,2569.9606817964923,9.644577121587709
22,28.3,4.019873823172882,2359.0579327585897,-715.5622191822688,0.0,4.508556573878713,-1.0488674951385082,9.455008561384208,78.22598572798948,1381.2626582268952,2.777193679023094
23,28.8,3.950371677516818,2372.774655524762,-719.9232252845593,0.0,9.85628784230806,-1.099016767047,20.02779598081676,78.15990743366619,2918.753548995759,12.4616805873958
24,29.1,3.640875185976,2391.9792893999065,-726.4910163457391,0.0,8.652807489312194,-1.0994259394688537,17.829440345683025,78.08031114086057,2599.065062177581,9.876871996614364
25,30.8,4.931387109015382,2497.22197400671,-756.0040077342032,0.0,27.19713684799588,-1.3105435357643094,56.40221804596791,77.90482865516418,8150.716188214998,98.8577377906838
26,31.9,4.771808823205834,2608.3048210368206,-790.4574448568991,0.0,20.93587275865412,-1.3130243300764248,46.05730816378091,77.68890632644168,6666.856045371843,65.93360300108901
27,34.1,5.76087288205957,2768.080751919454,-837.3657871769375,0.0,34.02126214846441,-1.4985030522782887,77.6784296371403,77.41425616918224,11159.809595847835,187.59740019217332
28,36.6,6.559948645262656,2975.587835845423,-899.3440566908073,0.0,38.80813395249872,-1.638868484953591,95.4949959724794,77.03826571007578,13653.162825990888,283.6261336413581
29,39.1,6.894115147436578,3190.3425650587437,-964.5538839414278,0.0,38.981273055312,-1.737339218524999,102.64981045494947,76.6141988244868,14638.476323460342,327.8541333909289
30,41.3,6.7692689155319705,3385.156735935927,-1024.6364673050207,0.0,35.12278771687997,-1.787620784808407,98.0867517387793,76.18800872481152,13987.620201955488,299.47821291835584
31,42.5,5.700980177828569,3509.2878860953288,-1065.0630059364537,0.0,22.3304994367479,-1.7238501039133225,65.79688130434268,75.8492911804072,9441.57441915233,134.80260419063964
32,43.3,4.782788454337472,3575.6178110218075,-1087.4155299014303,0.0,15.76244167690704,-1.6883608065272444,47.76127882685892,75.61532679843157,6876.635613117483,71.04579844249052
33,43.9,4.194747698616643,3616.536744273591,-1101.2517705277996,0.0,13.145037725923952,-1.6793586750285152,40.42290082277372,75.43159970235736,5826.822528661173,50.90014984116418
34,44.4,3.814663888597961,3648.5615873720126,-1111.9072259126274,0.0,12.348507260269873,-1.684722614683417,38.34526924432879,75.26543070329778,5527.693198680563,45.80974415412917
35,44.5,3.1776030219628497,3658.571085606252,-1116.3613924492747,0.0,7.973943732947097,-1.649007139853652,25.34376773698754,75.13378381134021,3662.599011959429,20.013923264510744
36,44.2,2.361338707323869,3635.306148686395,-1110.987330307176,0.0,2.750150393302734,-1.590224200960015,9.72872795581912,75.0649254679032,1410.4740243151894,2.949382247176077
37,42.7,0.6291689447960406,3522.6568419139558,-1080.1542983210145,0.0,-9.536637339548577,-1.416808789463976,-20.059143494332243,75.12392385356002,-2927.1965459442167,12.537726850258784
38,39.9,-1.371001539393743,3318.161902515594,-1021.7048148689638,0.0,-21.68057079751527,-1.1983235256802525,-44.732167797042656,75.29815502431144,-6564.662543401979,62.3390751645443
